City: Yogyakarta, Count: 2543
City: Luwu Utara, Count: 3
City: Aceh Tengah, Count: 22
City: Bener Meriah, Count: 3
City: Ogan Ilir, Count: 7
City: Tebing Tinggi, Count: 9
City: Aceh Singkil, Count: 2
City: Lampung Timur, Count: 2
City: Donggala, Count: 2
City: Keerom, Count: 1
City: Kepulauan Anambas, Count: 1
City: Dairi, Count: 10
City: Musi Rawas, Count: 2
City: Pesawaran, Count: 15
City: Kerinci, Count: 7
City: Jeneponto, Count: 7
City: Bireuen, Count: 2
City: Aceh Tenggara, Count: 1
City: Aceh Tamiang, Count: 9
City: Siak, Count: 3
City: Teluk Bintuni, Count: 4
City: Prabumulih, Count: 19
City: Bengkulu Selatan, Count: 2
City: Batubara, Count: 4
City: Langsa, Count: 1
City: Buru, Count: 3
City: Bangkalan, Madura Island, Count: 6
City: Aceh Barat Daya, Count: 1
City: Musi Banyuasin, Count: 7
City: Ogan Komering Ilir, Count: 6
City: Aceh Selatan, Count: 1
City: Humbang Hasundutan, Count: 6
City: Lingga, Count: 6
City: Polewali Mandar, Count: 1
City: Aceh Barat, Count: 1
City: Ogan Komering Ulu Selatan, Count: 14
City: Boven Digoel, Count: 2
City: Kepulauan Aru, Count: 2
City: Buol, Count: 1
City: Mandailing Natal, Count: 1
City: Parigi Moutong, Count: 2
City: Kepulauan Sangihe, Count: 3
City: Soppeng, Count: 6
City: Barru, Count: 1
City: Sijunjung, Count: 2
City: Pelalawan, Count: 15
City: Ogan Komering Ulu Timur, Count: 3
City: Seruyan, Count: 1
City: Kabupaten Gorontalo, Count: 1
City: Lombok Tengah, Lombok, Count: 10
City: Sigi, Count: 1
City: Kuantan Singingi, Count: 3
City: Tana Tidung, Count: 1
City: Luwu, Count: 5
City: Bolaang Mongondow Timur, Count: 1
City: Tapin, Count: 1
City: Landak, Count: 1
City: Malinau, Count: 1
City: Halmahera Tengah, Count: 1
City: Gunung Mas, Count: 1
City: Halmahera Timur, Count: 1
City: Gayo Lues, Count: 1
City: Barito Selatan, Count: 1
City: Minahasa Tenggara, Count: 1
City: Katingan, Count: 1
